Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01005401,355,"1,909",0.49,96,80,136,42,131,0.11,0,,
S01005402,355,"3,189",0.01,67,75,54,46,106,0.11,0.09,,
S01005403,355,"1,553",0.64,90,90,128,143,138,0.11,0.03,,
S01005404,355,"4,229",-0.37,125,55,39,0,83,0.1,0.11,,
S01005405,355,"4,371",-0.42,64,60,26,0,93,0.1,0.06,,
S01005406,355,"2,811",0.15,91,55,37,154,119,0.1,0.09,,
S01005407,355,"4,248",-0.37,77,75,16,0,94,0.11,0.05,,
S01005408,355,"2,108",0.41,90,70,125,154,124,0.1,0.05,,
S01005409,355,"3,958",-0.27,72,50,53,0,99,0.1,0.04,,
S01005410,355,"5,021",-0.67,70,50,25,0,80,0.1,0.02,,
S01005411,355,"3,713",-0.19,72,80,60,120,86,0.11,0.03,,
S01005412,355,"3,152",0.03,79,90,71,49,101,0.1,0.04,,
S01005413,355,"2,247",0.36,93,120,132,69,107,0.11,0.08,,
S01005414,355,"2,372",0.31,85,95,60,31,126,0.1,0.06,,
S01005415,355,"3,148",0.03,98,100,43,36,100,0.11,0.04,,
S01005416,355,"2,046",0.43,135,110,74,0,125,0.11,0.06,,
S01005417,355,"1,680",0.58,106,125,61,63,132,0.11,0.12,,
S01005418,355,"3,390",-0.06,96,75,60,0,100,0.1,0.13,,
S01005419,355,"3,255",-0.01,82,45,83,0,112,0.11,0.07,,
S01005420,355,"2,360",0.32,65,60,251,44,118,0.11,0,,
S01005421,355,"1,474",0.67,54,100,146,127,144,0.11,0.09,,
S01005422,355,"2,997",0.08,82,105,40,62,105,0.11,0.06,,
S01005423,355,"4,607",-0.51,60,60,18,22,87,0.11,0.04,,
S01005424,355,"2,399",0.30,93,80,167,60,106,0.11,0.13,,
S01005425,355,225,1.57,139,145,297,374,182,0.11,0.05,,
S01005426,355,458,1.28,88,105,254,414,177,0.11,0.02,,
S01005427,355,651,1.12,109,115,295,74,160,0.11,0.03,,
S01005428,355,"1,102",0.84,97,125,168,123,141,0.11,0.07,,
S01005429,355,204,1.60,215,110,195,36,206,0.11,0.05,,
S01005430,355,"3,435",-0.08,69,50,52,93,104,0.11,0.07,,
S01005431,355,"1,338",0.73,97,80,103,112,150,0.11,0.06,,
S01005432,355,"2,244",0.36,72,75,116,57,125,0.11,0.06,,
S01005433,355,"1,161",0.81,116,90,189,144,139,0.11,0.09,,
S01005434,355,"1,417",0.70,78,65,196,126,144,0.11,0.07,,
S01005435,355,"3,107",0.04,62,100,81,150,100,0.1,0,,
S01005436,355,"1,856",0.51,133,110,93,92,118,0.11,0.08,,
S01005437,355,"3,541",-0.12,80,75,49,24,96,0.11,0.08,,
S01005438,355,"2,568",0.23,90,90,129,139,103,0.1,0.07,,
S01005439,355,"3,054",0.06,84,65,103,42,102,0.1,0.1,,
S01005440,355,"4,482",-0.46,119,65,22,0,81,0.11,0.04,,
S01005441,355,"1,918",0.48,86,90,153,47,125,0.11,0.07,,
S01005442,355,"4,724",-0.55,51,65,27,0,89,0.08,0.05,,
S01005443,355,"3,467",-0.09,99,90,49,115,90,0.1,0.02,,
S01005444,355,"2,580",0.23,78,85,60,46,120,0.11,0.04,,
S01005445,355,"3,382",-0.06,83,80,39,0,114,0.09,0,,
S01005446,355,"2,468",0.27,83,65,136,33,122,0.09,0.03,,
S01005447,355,"3,452",-0.08,102,55,31,36,111,0.07,0.07,,
S01005448,355,"5,138",-0.73,47,50,36,0,82,0.07,0.03,,
S01005449,355,"3,583",-0.13,139,75,21,29,96,0.09,0.1,,
S01005450,355,"2,953",0.09,91,135,57,0,107,0.09,0.04,,
S01005451,355,"2,310",0.34,104,90,113,0,125,0.07,0.17,,
S01005452,355,"4,772",-0.57,52,60,42,0,88,0.07,0,,
S01005453,355,"4,414",-0.43,83,70,31,0,87,0.09,0.04,,
S01005454,355,"3,120",0.04,105,85,24,260,107,0.07,0.09,,
S01005455,355,"1,701",0.57,125,105,46,81,145,0.07,0.05,,
S01005456,355,"5,043",-0.68,57,60,7,26,89,0.07,0.06,,
S01005457,355,"1,677",0.58,73,95,174,27,143,0.07,0.09,,
S01005458,355,"1,504",0.66,111,85,131,32,148,0.08,0.03,,
S01005459,355,"4,568",-0.49,58,40,89,190,79,0.08,0,,
S01005460,355,"4,585",-0.50,70,65,23,31,81,0.11,0.07,,
S01005461,355,"3,681",-0.18,127,75,30,0,97,0.09,0.05,,
S01005462,355,"4,397",-0.43,74,80,37,0,82,0.1,0.12,,
S01005463,355,"2,717",0.18,88,55,56,41,129,0.07,0.08,,
S01005464,355,"2,771",0.16,96,60,89,0,112,0.13,0.13,,
S01005465,355,"3,393",-0.06,108,40,100,0,109,0.07,0.09,,
S01005466,355,"5,189",-0.75,56,55,16,0,81,0.09,0.05,,
S01005467,355,"4,838",-0.60,78,30,52,0,85,0.07,0.12,,
S01005468,355,"4,928",-0.63,124,50,14,25,78,0.08,0.03,,
S01005469,355,"4,049",-0.30,59,80,56,35,91,0.08,0,,
S01005470,355,"5,202",-0.75,82,60,15,0,77,0.08,0.05,,
S01005471,355,"5,311",-0.80,97,35,39,33,68,0.08,0.08,,
S01005472,355,"3,641",-0.16,79,70,32,17,109,0.07,0.03,,
S01005473,355,"4,738",-0.56,79,75,29,0,80,0.08,0.07,,
S01005474,355,"1,825",0.52,112,135,117,0,130,0.08,0.09,,
S01005475,355,"5,230",-0.76,63,70,27,23,71,0.09,0,,
S01005476,355,"6,474",-1.95,52,55,3,0,42,0.08,0.02,,
S01005477,355,"4,652",-0.53,77,65,24,0,88,0.07,0.05,,
S01005478,355,"3,497",-0.10,68,90,79,31,95,0.08,0.09,,
S01005479,355,"3,909",-0.26,87,65,27,0,106,0.07,0.04,,
S01005480,355,"5,771",-1.05,50,80,30,0,62,0.07,0.04,,
S01005481,355,"3,607",-0.14,55,80,39,0,112,0.07,0.14,,
S01005482,355,"5,646",-0.98,74,45,13,0,72,0.08,0,,
S01005483,355,"3,772",-0.21,76,75,57,49,84,0.13,0.07,,
S01005484,355,"4,119",-0.32,63,70,44,0,92,0.12,0,,
S01005485,355,"2,829",0.14,101,110,90,0,99,0.14,0.03,,
S01005486,355,"3,059",0.06,84,115,63,64,92,0.14,0.02,,
S01005487,355,"2,042",0.43,114,125,171,0,108,0.14,0.07,,
S01005488,355,"1,960",0.47,91,105,114,99,116,0.14,0.06,,
S01005489,355,"4,561",-0.49,75,80,46,50,74,0.1,0.03,,
S01005490,355,"4,877",-0.61,72,75,32,50,68,0.13,0.07,,
S01005491,355,"4,266",-0.38,49,100,47,53,80,0.12,0,,
S01005492,360,"4,934",-0.64,65,65,77,56,69,0.08,0.03,,
S01005493,360,"4,502",-0.47,98,45,43,0,87,0.08,0.03,,
S01005494,360,"4,116",-0.32,75,60,71,30,89,0.08,0,,
S01005495,360,"3,753",-0.21,93,50,122,70,88,0.08,0,,
S01005496,360,"5,001",-0.66,98,70,27,72,71,0.07,0,,
S01005497,360,"5,539",-0.92,62,40,35,0,71,0.08,0,,
S01005498,360,"2,793",0.15,123,85,79,185,102,0.07,0.06,,
S01005499,360,"2,057",0.43,131,75,187,232,112,0.08,0.03,,
S01005500,360,"4,160",-0.34,55,45,66,962,83,0.08,0,,
S01005501,360,"2,700",0.19,76,70,123,270,109,0.08,0.05,,
S01005502,360,"2,845",0.13,111,75,129,160,97,0.08,0.06,,
S01005503,360,"2,936",0.10,133,65,92,44,103,0.08,0.05,,
S01005504,360,"2,184",0.38,104,55,180,340,116,0.08,0.06,,
S01005505,360,"2,375",0.31,102,65,206,401,105,0.08,0.04,,
S01005506,360,"1,994",0.45,135,100,110,110,118,0.08,0.06,,
S01005507,360,"1,433",0.69,79,55,283,251,141,0.08,0.09,,
S01005508,360,"1,851",0.51,95,80,249,327,115,0.08,0.11,,
S01005509,360,"5,218",-0.76,53,45,47,0,79,0.07,0,,
S01005510,360,"6,085",-1.27,66,30,39,30,57,0.07,0,,
S01005511,360,"6,199",-1.38,69,25,52,0,55,0.06,0.04,,
S01005512,360,"6,082",-1.27,76,70,30,36,50,0.07,0.04,,
S01005513,360,"4,370",-0.42,76,65,60,31,85,0.06,0.03,,
S01005514,360,"5,075",-0.70,82,45,32,86,73,0.07,0.05,,
S01005515,360,"6,361",-1.61,76,35,11,0,51,0.07,0,,
S01005516,360,"6,456",-1.87,42,30,22,0,43,0.07,0.05,,
S01005517,360,"4,124",-0.33,112,80,89,24,78,0.07,0.03,,
S01005518,360,"4,720",-0.55,103,60,43,25,76,0.07,0.03,,
S01005519,360,"4,206",-0.36,62,75,52,36,82,0.1,0.12,,
S01005520,360,"4,708",-0.55,77,105,61,27,68,0.09,0.06,,
S01005521,360,"5,982",-1.20,86,65,52,0,52,0.07,0.04,,
S01005522,370,"3,123",0.04,67,120,95,0,98,0.12,0.05,,
S01005523,370,"4,488",-0.46,66,95,31,34,77,0.12,0,,
S01005524,370,"3,580",-0.13,89,120,46,76,82,0.11,0.12,,
S01005525,370,"2,278",0.35,75,90,181,149,108,0.13,0,,
S01005526,370,"1,144",0.82,97,110,379,193,124,0.13,0.02,,
S01005527,370,689,1.08,134,95,248,507,141,0.14,0.09,,
S01005528,370,728,1.06,117,115,199,425,147,0.14,0,,
S01005529,370,"1,584",0.62,79,140,130,84,127,0.14,0,,
S01005530,370,"1,228",0.78,112,155,146,207,122,0.14,0.06,,
S01005531,370,"2,813",0.15,115,90,115,96,90,0.13,0.06,,
S01005532,370,"1,304",0.74,92,155,105,209,130,0.13,0.04,,
S01005533,370,"1,488",0.67,94,140,211,40,120,0.13,0.08,,
S01005534,370,"2,016",0.44,110,115,101,47,115,0.13,0.04,,
S01005535,370,"3,233",0.00,83,110,65,33,100,0.08,0.03,,
S01005536,370,"4,010",-0.29,63,90,21,30,93,0.12,0,,
S01005537,370,"2,603",0.22,86,110,77,102,104,0.12,0.05,,
S01005538,370,"3,314",-0.03,72,90,37,100,97,0.11,0.17,,
S01005539,370,"1,585",0.62,99,95,90,93,142,0.11,0,,
S01005540,370,"1,186",0.80,95,120,210,63,136,0.12,0.08,,
S01005541,370,"1,091",0.84,117,115,180,32,141,0.12,0.1,,
S01005542,370,"2,653",0.20,100,105,49,36,109,0.12,0.07,,
S01005543,370,"1,622",0.61,112,115,121,156,121,0.12,0.1,,
S01005544,370,"1,536",0.65,96,110,105,223,133,0.12,0,,
S01005545,370,"2,805",0.15,79,100,88,104,99,0.12,0.06,,
S01005546,370,"3,180",0.02,118,60,58,0,106,0.12,0.04,,
S01005547,370,"3,122",0.04,91,100,69,26,98,0.12,0,,
S01005548,370,"2,146",0.40,154,145,57,21,112,0.12,0,,
S01005549,370,"1,987",0.45,81,155,82,37,117,0.14,0.02,,
S01005550,370,"6,012",-1.22,57,35,14,0,62,0.12,0,,
S01005551,370,"5,924",-1.16,50,65,3,0,67,0.12,0,,
S01005552,370,"5,260",-0.77,95,60,32,0,66,0.11,0.07,,
S01005553,370,"5,678",-0.99,57,40,26,0,65,0.12,0.08,,
S01005554,370,"4,580",-0.49,53,55,60,54,78,0.12,0,,
S01005555,370,"4,526",-0.48,140,70,16,50,76,0.11,0,,
S01005556,370,"4,382",-0.42,77,65,32,91,78,0.12,0.05,,
S01005557,370,"1,800",0.53,81,80,138,33,135,0.12,0.04,,
S01005558,370,"4,803",-0.58,70,60,30,0,77,0.12,0.09,,
S01005559,370,"1,066",0.86,108,90,133,207,147,0.12,0.08,,
S01005560,370,837,0.99,74,100,294,405,146,0.12,0.09,,
S01005561,370,"3,596",-0.14,54,85,28,0,103,0.14,0.13,,
S01005562,370,"4,662",-0.53,92,95,23,0,75,0.11,0.07,,
S01005563,370,"1,366",0.72,122,130,148,117,125,0.12,0.07,,
S01005564,370,"5,252",-0.77,78,70,26,0,67,0.12,0.07,,
S01005565,370,"4,997",-0.66,80,40,33,0,76,0.12,0.06,,
S01005566,370,797,1.01,108,90,211,108,154,0.14,0.06,,
S01005567,370,"1,392",0.71,105,185,133,88,122,0.12,0.02,,
S01005568,370,"3,370",-0.05,80,70,37,131,96,0.12,0.14,,
S01005569,370,"4,196",-0.35,71,50,67,0,88,0.12,0.03,,
S01005570,370,"2,268",0.35,101,100,57,98,120,0.12,0,,
S01005571,370,"5,196",-0.75,76,35,26,33,72,0.12,0.04,,
S01005572,370,"4,175",-0.35,87,75,36,0,87,0.12,0,,
S01005573,370,"2,874",0.12,114,90,57,103,98,0.12,0.04,,
S01005574,370,"2,371",0.31,64,115,165,28,111,0.12,0.02,,
S01005575,370,"5,245",-0.77,54,35,50,0,73,0.12,0.06,,
S01005576,370,"3,089",0.05,63,80,129,101,93,0.12,0.09,,
S01005577,370,"3,094",0.04,113,105,44,40,97,0.12,0,,
S01005578,370,"2,051",0.43,101,135,112,0,120,0.12,0.03,,
S01005579,370,"4,407",-0.43,67,70,45,0,84,0.12,0,,
S01005580,370,"4,117",-0.32,123,115,33,0,79,0.11,0,,
S01005581,370,"1,432",0.69,83,135,105,296,129,0.12,0.1,,
S01005582,370,"3,534",-0.11,105,100,52,0,93,0.11,0,,
S01005583,370,"3,886",-0.25,82,55,143,0,85,0.12,0,,
S01005584,370,"6,104",-1.28,31,40,15,0,62,0.12,0,,
S01005585,370,278,1.49,131,210,307,401,159,0.12,0.08,,
S01005586,370,578,1.16,84,160,354,848,137,0.12,0.15,,
S01005587,370,"1,259",0.77,112,140,125,333,124,0.12,0.15,,
S01005588,370,546,1.19,126,175,264,93,148,0.12,0.09,,
S01005589,370,268,1.49,130,195,357,259,164,0.12,0.04,,
S01005590,370,69,1.97,112,210,569,713,193,0.12,0.12,,
S01005591,370,"1,031",0.88,119,155,218,176,128,0.13,0,,
S01005592,370,103,1.83,130,90,664,792,195,0.12,0.09,,
S01005593,370,466,1.27,123,160,180,290,163,0.12,0.03,,
S01005594,370,94,1.86,119,245,452,365,188,0.12,0.06,,
S01005595,370,714,1.07,89,165,191,203,150,0.12,0.06,,
S01005596,370,559,1.18,93,125,347,302,157,0.12,0,,
S01005597,370,672,1.10,91,175,170,543,144,0.12,0.12,,
S01005598,370,41,2.11,148,190,631,846,200,0.12,0.08,,
S01005599,370,"1,573",0.63,87,90,156,254,131,0.12,0,,
S01005600,370,89,1.87,147,150,422,486,200,0.12,0.05,,
S01005601,370,"2,513",0.25,98,100,61,37,113,0.12,0.04,,
S01005602,370,262,1.51,139,135,281,350,179,0.12,0.03,,
S01005603,370,"1,430",0.69,138,145,186,31,120,0.12,0.03,,
S01005604,370,"1,318",0.73,61,85,288,520,128,0.12,0.11,,
S01005605,370,"2,080",0.42,100,170,135,26,103,0.12,0.1,,
S01005606,370,"1,452",0.68,84,90,203,189,130,0.12,0.07,,
S01005607,370,"3,754",-0.21,125,70,39,0,89,0.12,0.05,,
S01005608,370,"3,667",-0.17,85,85,44,27,90,0.12,0.03,,
S01005609,370,"2,716",0.18,79,125,99,0,107,0.12,0.03,,
S01005610,370,"3,030",0.06,114,65,46,43,105,0.12,0.05,,
S01005611,370,34,2.17,291,135,443,283,231,0.12,0.03,,
S01005612,370,"5,742",-1.03,50,40,8,22,69,0.12,0.06,,
S01005613,370,"1,968",0.46,127,135,109,28,115,0.12,0,,
S01005614,370,"1,834",0.52,129,110,139,145,109,0.12,0.11,,
S01005615,370,"1,788",0.53,96,140,121,122,117,0.12,0.02,,
S01005616,370,"2,759",0.16,67,85,75,40,115,0.12,0,,
S01005617,370,"2,094",0.42,121,120,116,98,106,0.12,0.07,,
S01005618,370,"1,273",0.76,108,145,170,274,122,0.12,0.05,,
S01005619,370,"6,097",-1.28,34,30,31,44,57,0.11,0.05,,
S01005620,370,"3,085",0.05,120,75,169,56,86,0.12,0,,
S01005621,370,"2,548",0.24,74,75,110,724,99,0.11,0.14,,
S01005622,370,"3,790",-0.22,53,95,50,299,83,0.11,0.05,,
S01005623,370,"1,930",0.48,211,90,62,202,114,0.11,0.04,,
S01005624,370,"5,215",-0.75,54,65,34,34,68,0.11,0.06,,
S01005625,370,"5,254",-0.77,49,85,56,0,66,0.11,0.04,,
S01005626,370,"1,816",0.52,138,110,97,30,123,0.11,0.05,,
S01005627,370,"3,623",-0.15,80,75,95,45,85,0.11,0.08,,
S01005628,370,983,0.91,145,175,204,201,122,0.12,0.06,,
S01005629,370,"4,491",-0.46,59,65,52,36,80,0.11,0,,
S01005630,370,"3,555",-0.12,93,60,108,0,92,0.11,0.08,,
S01005631,370,"2,915",0.10,92,95,95,38,95,0.13,0.05,,
S01005632,370,"2,670",0.20,94,50,199,94,106,0.11,0,,
S01005633,370,"1,391",0.71,88,150,151,234,126,0.11,0.05,,
S01005634,370,"4,468",-0.46,82,65,50,36,77,0.11,0,,
S01005635,370,"4,314",-0.40,105,85,22,0,83,0.11,0.04,,
S01005636,370,"4,246",-0.37,76,110,24,36,78,0.11,0.13,,
S01005637,370,"2,860",0.13,81,120,69,22,103,0.11,0.07,,
S01005638,370,"4,238",-0.37,70,100,67,0,80,0.11,0,,
S01005639,370,834,0.99,135,115,158,195,144,0.12,0.15,,
S01005640,370,"4,912",-0.63,55,65,46,91,71,0.11,0,,
S01005641,370,"2,503",0.26,83,100,142,50,105,0.12,0.03,,
S01005642,370,"4,217",-0.36,137,75,36,50,77,0.1,0,,
S01005643,370,"3,988",-0.28,81,50,85,58,88,0.09,0,,
S01005644,370,"6,084",-1.27,53,45,22,0,59,0.09,0,,
S01005645,370,"5,107",-0.71,85,60,17,0,76,0.09,0.08,,
S01005646,370,"2,177",0.39,91,125,250,61,100,0.09,0.17,,
S01005647,370,"2,641",0.21,92,95,108,116,105,0.09,0.06,,
S01005648,370,"2,258",0.35,112,145,29,92,118,0.11,0.03,,
S01005649,370,"1,331",0.73,135,160,187,204,119,0.09,0.03,,
S01005650,370,"1,599",0.62,105,95,125,35,140,0.09,0.07,,
S01005651,370,"1,459",0.67,91,130,168,84,134,0.09,0.04,,
S01005652,370,"5,089",-0.70,65,50,21,35,74,0.11,0.06,,
S01005653,370,"2,496",0.26,85,100,130,60,109,0.09,0.07,,
S01005654,370,"2,143",0.40,104,110,84,32,124,0.09,0.06,,
S01005655,370,"3,847",-0.24,64,80,53,0,95,0.09,0.11,,
S01005656,370,442,1.29,92,170,369,413,160,0.09,0.03,,
S01005657,370,"3,160",0.02,100,70,123,0,101,0.09,0.1,,
S01005658,370,"5,092",-0.71,50,45,50,33,76,0.09,0,,
S01005659,370,"4,673",-0.53,49,50,37,33,86,0.09,0.04,,
S01005660,370,"1,857",0.51,112,85,209,276,117,0.09,0,,
S01005661,370,"5,226",-0.76,53,35,54,0,77,0.09,0.04,,
S01005662,370,"6,179",-1.36,57,45,15,54,54,0.09,0,,
S01005663,370,"5,695",-1.00,51,35,14,55,71,0.09,0,,
S01005664,370,"5,703",-1.01,63,30,16,41,70,0.09,0,,
S01005665,370,"6,226",-1.41,53,20,45,0,55,0.09,0.06,,
S01005666,370,"2,560",0.24,106,180,102,21,95,0.11,0,,
S01005667,370,"3,212",0.00,112,85,55,0,101,0.11,0.06,,
S01005668,370,"2,253",0.35,74,90,106,148,119,0.11,0.03,,
S01005669,380,"4,493",-0.47,80,65,19,0,90,0.09,0.07,,
S01005670,380,"4,544",-0.49,62,85,30,0,81,0.13,0,,
S01005671,380,"5,160",-0.74,61,50,5,0,83,0.12,0.15,,
S01005672,380,"1,491",0.66,157,155,77,27,121,0.16,0,,
S01005673,380,"5,908",-1.14,92,40,9,0,65,0.09,0,,
S01005674,380,"3,444",-0.08,118,135,32,26,80,0.16,0.07,,
S01005675,380,"1,285",0.75,116,200,88,109,118,0.16,0.07,,
S01005676,380,"2,104",0.41,150,135,32,112,107,0.16,0.06,,
S01005677,380,"5,791",-1.07,54,70,10,0,64,0.11,0.08,,
S01005678,380,"5,465",-0.88,77,70,23,0,66,0.09,0.07,,
S01005679,380,"4,004",-0.29,82,150,34,79,73,0.14,0,,
S01005680,380,"2,709",0.18,226,170,16,0,99,0.13,0.03,,
S01005681,380,"4,457",-0.45,123,140,28,0,72,0.09,0.03,,
S01005682,380,"6,142",-1.32,67,55,4,0,61,0.09,0,,
S01005683,380,"1,864",0.51,134,165,116,34,106,0.12,0.1,,
S01005684,380,"2,939",0.10,106,175,40,20,90,0.12,0.12,,
S01005685,380,"5,197",-0.75,64,30,21,0,82,0.11,0.04,,
S01005686,380,"5,535",-0.92,66,110,30,0,59,0.12,0,,
S01005687,380,"6,212",-1.39,32,75,0,0,61,0.12,0.03,,
S01005688,380,"5,220",-0.76,56,80,44,26,64,0.12,0.06,,
S01005689,380,"5,812",-1.08,53,30,16,0,70,0.11,0,,
S01005690,380,"5,398",-0.85,71,65,20,0,70,0.09,0.04,,
S01005691,380,"5,827",-1.09,54,65,41,0,57,0.11,0.04,,
S01005692,380,"4,156",-0.34,117,60,44,0,87,0.09,0.04,,
S01005693,380,"3,998",-0.28,130,120,19,0,83,0.11,0.04,,
S01005694,380,"1,183",0.80,93,95,93,513,145,0.12,0.04,,
S01005695,380,"5,004",-0.66,60,65,39,213,67,0.11,0.03,,
S01005696,380,"1,997",0.45,145,90,160,0,112,0.13,0.13,,
S01005697,380,"1,479",0.67,125,125,91,84,128,0.12,0.12,,
S01005698,380,"2,800",0.15,129,75,33,0,112,0.13,0.17,,
S01005699,380,"2,785",0.15,109,160,62,34,91,0.11,0.13,,
S01005700,380,"2,986",0.08,215,75,34,0,106,0.11,0,,
S01005701,380,"1,963",0.47,111,100,133,175,115,0.11,0.02,,
S01005702,380,"3,587",-0.13,100,120,31,40,89,0.11,0,,
S01005703,380,"5,070",-0.69,84,45,16,0,76,0.13,0.09,,
S01005704,380,"2,654",0.20,125,110,110,41,95,0.11,0.06,,
S01005705,380,"4,062",-0.31,175,75,14,0,88,0.1,0.05,,
S01005706,380,"6,081",-1.27,55,60,12,0,58,0.11,0,,
S01005707,380,"1,650",0.60,158,140,113,167,112,0.11,0.05,,
S01005708,380,"3,662",-0.17,103,105,83,32,78,0.11,0.07,,
S01005709,380,"2,203",0.38,103,145,52,170,110,0.11,0.08,,
S01005710,380,"5,366",-0.83,68,50,5,36,75,0.13,0,,
S01005711,380,"4,373",-0.42,106,65,21,0,86,0.11,0.03,,
S01005712,380,"3,017",0.07,80,80,63,89,106,0.11,0,,
S01005713,380,"4,898",-0.62,61,55,34,142,73,0.11,0,,
S01005714,380,"2,232",0.36,91,170,59,42,107,0.14,0.05,,
S01005715,380,"4,484",-0.46,66,85,74,0,75,0.11,0.07,,
S01005716,380,"5,916",-1.15,65,35,16,0,64,0.11,0,,
S01005717,380,"5,969",-1.19,67,50,12,0,61,0.11,0,,
S01005718,380,"3,200",0.01,120,110,37,0,99,0.11,0.07,,
S01005719,380,"5,960",-1.18,68,30,10,0,65,0.11,0.06,,
S01005720,380,"5,894",-1.14,40,45,40,0,61,0.11,0,,
S01005721,380,"2,445",0.28,129,100,82,106,108,0.1,0,,
S01005722,380,"5,945",-1.17,44,40,6,0,67,0.11,0.13,,
S01005723,380,"3,287",-0.02,121,90,40,35,93,0.11,0.1,,
S01005724,380,"5,321",-0.80,73,25,10,0,84,0.11,0.11,,
S01005725,380,"4,300",-0.40,89,70,62,0,81,0.11,0,,
S01005726,380,"3,110",0.04,155,125,12,70,101,0.11,0,,
S01005727,380,"3,911",-0.26,68,75,29,49,90,0.13,0.03,,
S01005728,380,"3,788",-0.22,82,100,18,30,90,0.14,0.03,,
S01005729,380,"1,564",0.63,145,110,84,0,134,0.14,0.07,,
S01005730,380,"2,837",0.13,96,95,72,0,109,0.1,0.14,,
S01005731,380,"2,887",0.12,66,135,110,0,98,0.14,0.03,,
S01005732,380,"1,901",0.49,126,125,88,131,114,0.11,0.09,,
S01005733,380,"3,870",-0.24,144,90,21,0,87,0.11,0.06,,
S01005734,380,"5,146",-0.73,71,75,18,0,73,0.12,0,,
S01005735,380,"3,312",-0.03,324,45,12,0,107,0.14,0,,
S01005736,380,"1,179",0.80,251,150,34,35,136,0.14,0.08,,
S01005737,380,"3,334",-0.04,99,110,53,53,87,0.14,0,,
S01005738,380,"2,977",0.09,89,135,40,69,94,0.15,0,,
S01005739,380,"3,420",-0.07,86,170,42,17,88,0.1,0.03,,
S01005740,380,"6,011",-1.22,58,55,15,0,60,0.09,0.03,,
S01005741,380,"3,934",-0.26,106,100,29,0,86,0.11,0.06,,
S01005742,380,"2,826",0.14,126,105,33,56,102,0.13,0.02,,
S01005743,380,"5,402",-0.85,203,45,3,18,67,0.13,0,,
S01005744,380,"1,151",0.81,174,160,89,24,130,0.15,0.03,,
S01005745,380,"1,253",0.77,184,240,46,25,122,0.15,0.02,,
S01005746,380,"3,598",-0.14,103,85,55,0,90,0.11,0.12,,
S01005747,380,"5,097",-0.71,70,100,22,0,68,0.14,0,,
S01005748,380,818,1.00,118,150,278,42,135,0.15,0.06,,
S01005749,380,"4,410",-0.43,75,65,34,0,84,0.11,0.11,,
S01005750,380,"2,224",0.36,78,120,49,0,129,0.14,0.04,,
S01005751,380,"4,802",-0.58,62,90,41,27,68,0.13,0.1,,
S01005752,380,"1,843",0.51,104,140,56,57,121,0.15,0.03,,
S01005753,380,"2,776",0.16,128,95,33,0,107,0.14,0.16,,
S01005754,380,"3,331",-0.04,110,160,40,0,85,0.14,0.05,,
S01005755,380,941,0.94,96,140,213,497,129,0.15,0.04,,
S01005756,380,"2,490",0.26,73,165,73,26,101,0.14,0.09,,
S01005757,380,"1,499",0.66,118,120,173,166,113,0.15,0.07,,
S01005758,380,"2,763",0.16,111,115,57,0,104,0.14,0.04,,
S01005759,380,588,1.16,114,175,130,228,151,0.15,0.08,,
S01005760,380,"4,061",-0.31,107,65,50,43,77,0.15,0,,
S01005761,380,"4,994",-0.66,74,65,26,0,72,0.13,0.07,,
S01005762,380,336,1.39,167,175,152,150,161,0.15,0.15,,
S01005763,380,"3,193",0.01,93,175,28,0,94,0.12,0.08,,
S01005764,380,958,0.92,114,105,147,163,145,0.15,0.03,,
S01005765,380,"1,006",0.89,116,190,134,0,138,0.14,0.14,,
S01005766,380,"4,264",-0.38,47,80,39,0,85,0.14,0.12,,
S01005767,380,"6,321",-1.54,47,40,31,0,45,0.14,0.04,,
S01005768,380,"2,029",0.44,148,155,39,77,106,0.15,0.08,,
S01005769,380,"1,765",0.54,110,130,134,142,109,0.15,0.03,,
S01005770,380,"1,359",0.72,164,140,110,81,122,0.13,0.04,,
S01005771,380,"5,683",-1.00,32,60,12,0,69,0.15,0,,
S01005772,380,"5,204",-0.75,45,70,28,0,69,0.15,0.09,,
S01005773,380,"4,579",-0.49,52,60,17,0,88,0.14,0.11,,
S01005774,380,"3,415",-0.07,72,90,52,34,93,0.14,0.04,,
S01005775,380,"2,498",0.26,116,145,97,32,92,0.15,0.03,,
S01005776,380,"5,403",-0.85,46,80,21,0,67,0.15,0,,
S01005777,380,"3,241",0.00,83,70,70,0,105,0.14,0,,
S01005778,380,"2,317",0.33,75,135,108,99,106,0.14,0,,
S01005779,380,"4,396",-0.43,102,70,22,0,81,0.14,0.03,,
S01005780,380,"5,786",-1.06,57,65,13,0,64,0.11,0.02,,
S01005781,380,"1,088",0.85,153,165,96,24,134,0.15,0.03,,
S01005782,380,"1,625",0.61,124,175,60,62,117,0.15,0.06,,
S01005783,380,"6,048",-1.24,54,45,10,0,60,0.14,0,,
S01005784,380,"3,691",-0.18,167,115,16,0,91,0.1,0,,
